Software_name,category_1,option_1,,category_2,option_2,category_3,option_3,category_4,option_4,category_5,option_5,category_6,option_6,category_7,option_7,category_8,option_8,category_9,option_9,category_10,option_10,category_11,option_11,category_12,option_12,category_13,option_13,category_14,option_14,category_15,option_15,category_16
SAP Sales Cloud,https://www.g2.com/categories/sales-platforms,plataformas-ventas,https://www.g2.com/categories/sales-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HubSpot Marketing Hub,https://www.g2.com/categories/account-based-analytics,analitica-cuentas,https://www.g2.com/categories/account-based-analytics,https://www.g2.com/categories/account-based-web-and-content-experiences,experiencias-web-cuentas,https://www.g2.com/categories/account-based-orchestration-platforms,plataformas-orquestacion-cuentas,https://www.g2.com/categories/account-data-management,gestion-datos-cuentas,https://www.g2.com/categories/attribution,atribucion,https://www.g2.com/categories/conversational-marketing,marketing-conversacional,https://www.g2.com/categories/landing-page-builders,constructores-landing-pages,https://www.g2.com/categories/customer-journey-analytics,analitica-jornada-cliente,https://www.g2.com/categories/marketing-analytics,analitica-marketing,https://www.g2.com/categories/marketing-automation,automatizacion-marketing,https://www.g2.com/categories/marketing-platforms,plataformas-marketing,https://www.g2.com/categories/social-media-mgmt,gestion-redes-sociales,https://www.g2.com/categories/social-media-advertising,publicidad-en-redes-sociales,,,,,
Demandbase One,https://www.g2.com/categories/account-based-analytics,analitica-cuentas,https://www.g2.com/categories/account-based-analytics,https://www.g2.com/categories/account-based-advertising,publicidad-cuentas,https://www.g2.com/categories/account-based-orchestration-platforms,plataformas-orquestacion-cuentas,,,,,,,,,,,,,,,,,,,,,,,,,
6sense Revenue AI for Marketing,https://www.g2.com/categories/account-based-analytics,analitica-cuentas,https://www.g2.com/categories/account-based-analytics,https://www.g2.com/categories/account-based-advertising,publicidad-cuentas,https://www.g2.com/categories/account-based-orchestration-platforms,plataformas-orquestacion-cuentas,,,,,,,,,,,,,,,,,,,,,,,,,
Lead Forensics,https://www.g2.com/categories/buyer-intent-data-providers,proveedores-intencion-comprador,https://www.g2.com/categories/buyer-intent-data-providers,https://www.g2.com/categories/marketing-account-intelligence,inteligencia-cuentas-marketing,https://www.g2.com/categories/visitor-identification,identificacion-visitantes,,,,,,,,,,,,,,,,,,,,,,,,,
Similarweb,https://www.g2.com/categories/competitive-intelligence,inteligencia-competitiva,https://www.g2.com/categories/competitive-intelligence,https://www.g2.com/categories/content-analytics,analitica-contenido,https://www.g2.com/categories/market-intelligence,inteligencia-mercado,https://www.g2.com/categories/digital-advertising-intelligence,inteligencia-para-publicidad-digital,,,,,,,,,,,,,,,,,,,,,,,
Semrush,https://www.g2.com/categories/competitive-intelligence,inteligencia-competitiva,https://www.g2.com/categories/competitive-intelligence,https://www.g2.com/categories/content-analytics,analitica-contenido,https://www.g2.com/categories/content-creation,creacion-contenido,https://www.g2.com/categories/local-seo,seo-local,https://www.g2.com/categories/marketing-analytics,analitica-marketing,https://www.g2.com/categories/market-intelligence,inteligencia-mercado,https://www.g2.com/categories/seo-tools,herramientas-seo,,,,,,,,,,,,,,,,,
Reputation,https://www.g2.com/categories/competitive-intelligence,inteligencia-competitiva,https://www.g2.com/categories/competitive-intelligence,https://www.g2.com/categories/local-listing-management,gestion-listados-locales,https://www.g2.com/categories/multi-location-marketing-platforms,plataformas-marketing-multilocalizacion,https://www.g2.com/categories/online-reputation-management,gestion-reputacion-linea,https://www.g2.com/categories/social-media-suites,suites-redes-sociales,https://www.g2.com/categories/experience-management,gestion-experiencias,,,,,,,,,,,,,,,,,,,
RollWorks Account-Based Platform,https://www.g2.com/categories/account-based-advertising,publicidad-cuentas,https://www.g2.com/categories/account-based-advertising,https://www.g2.com/categories/cross-channel-advertising,publicidad-en-multiples-canales,https://www.g2.com/categories/retargeting,,,,,,,,,,,,,,,,,,,,,,,,,,
Sendoso,https://www.g2.com/categories/account-based-direct-mail,correo-directo-cuentas,https://www.g2.com/categories/account-based-direct-mail,https://www.g2.com/categories/direct-mail-automation,automatizacion-correo-directo,https://www.g2.com/categories/promotional-product-management,gestion-productos-promocionales,,,,,,,,,,,,,,,,,,,,,,,,,
Alyce,https://www.g2.com/categories/account-based-direct-mail,correo-directo-cuentas,https://www.g2.com/categories/account-based-direct-mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reachdesk,https://www.g2.com/categories/account-based-direct-mail,correo-directo-cuentas,https://www.g2.com/categories/account-based-direct-mail,https://www.g2.com/categories/promotional-product-management,gestion-productos-promocionales,,,,,,,,,,,,,,,,,,,,,,,,,,,
RELAYTO,https://www.g2.com/categories/account-based-web-and-content-experiences,experiencias-web-cuentas,https://www.g2.com/categories/account-based-web-and-content-experiences,https://www.g2.com/categories/content-creation,creacion-contenido,https://www.g2.com/categories/content-curation,curacion-contenido,https://www.g2.com/categories/content-distribution,distribucion-contenido,https://www.g2.com/categories/content-experience-platforms,plataformas-experiencia-contenido,https://www.g2.com/categories/flipbook,flipbook,,,,,,,,,,,,,,,,,,,
Foundry ABM,https://www.g2.com/categories/account-based-web-and-content-experiences,experiencias-web-cuentas,https://www.g2.com/categories/account-based-web-and-content-experiences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Groove,https://www.g2.com/categories/account-data-management,gestion-datos-cuentas,https://www.g2.com/categories/account-data-management,https://www.g2.com/categories/business-scheduling,programacion-negocios,,,,,,,,,,,,,,,,,,,,,,,,,,,
impact.com,https://www.g2.com/categories/affiliate-marketing,marketing-afiliados,https://www.g2.com/categories/affiliate-marketing,https://www.g2.com/categories/tag-management-systems,sistemas-administracion-etiquetas,,,,,,,,,,,,,,,,,,,,,,,,,,,
PartnerStack,https://www.g2.com/categories/affiliate-marketing,marketing-afiliados,https://www.g2.com/categories/affiliate-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voluum,https://www.g2.com/categories/affiliate-marketing,marketing-afiliados,https://www.g2.com/categories/affiliate-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppTweak,https://www.g2.com/categories/app-store-optimization,optimizacion-tiendas-apps,https://www.g2.com/categories/app-store-optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppFollow,https://www.g2.com/categories/app-store-optimization,optimizacion-tiendas-apps,https://www.g2.com/categories/app-store-optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoreMaven,https://www.g2.com/categories/app-store-optimization,optimizacion-tiendas-apps,https://www.g2.com/categories/app-store-optimization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActiveCampaign for Marketing,https://www.g2.com/categories/attribution,atribucion,https://www.g2.com/categories/attribution,https://www.g2.com/categories/conversational-marketing,marketing-conversacional,https://www.g2.com/categories/landing-page-builders,constructores-landing-pages,https://www.g2.com/categories/email-template-builder,plantillas-correo-electronico,https://www.g2.com/categories/marketing-automation,automatizacion-marketing,https://www.g2.com/categories/pop-up-builder,creacion-pop-ups,https://www.g2.com/categories/e-commerce-personalization,personalizacion-comercio-electronico,,,,,,,,,,,,,,,,,
Triple Whale,https://www.g2.com/categories/attribution,atribucion,https://www.g2.com/categories/attribution,https://www.g2.com/categories/e-commerce-analytics,analisis-comercio-electronico,https://www.g2.com/categories/retail-analytics,analisis-comercio-minorista,,,,,,,,,,,,,,,,,,,,,,,,,
Brandwatch Consumer Intelligence,https://www.g2.com/categories/audience-intelligence-platforms,plataformas-inteligencia-audiencia,https://www.g2.com/categories/audience-intelligence-platforms,https://www.g2.com/categories/brand-intelligence,inteligencia-marca,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dstillery,https://www.g2.com/categories/audience-intelligence-platforms,plataformas-inteligencia-audiencia,https://www.g2.com/categories/audience-intelligence-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMNA from Stirista,https://www.g2.com/categories/audience-intelligence-platforms,plataformas-inteligencia-audiencia,https://www.g2.com/categories/audience-intelligence-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G2.com,https://www.g2.com/categories/b2b-services-review-platforms,plataformas-reseñas-servicios-b2b,https://www.g2.com/categories/b2b-services-review-platforms,https://www.g2.com/categories/technology-research-services,,https://www.g2.com/categories/technology-review-platforms,plataformas-revision-tecnologica,,,,,,,,,,,,,,,,,,,,,,,,,
UpCity,https://www.g2.com/categories/b2b-services-review-platforms,plataformas-reseñas-servicios-b2b,https://www.g2.com/categories/b2b-services-review-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clutch.co,https://www.g2.com/categories/b2b-services-review-platforms,plataformas-reseñas-servicios-b2b,https://www.g2.com/categories/b2b-services-review-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upfluence,https://www.g2.com/categories/blogger-outreach,divulgacion-blogueros,https://www.g2.com/categories/blogger-outreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pitchbox,https://www.g2.com/categories/blogger-outreach,divulgacion-blogueros,https://www.g2.com/categories/blogger-outreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respona,https://www.g2.com/categories/blogger-outreach,divulgacion-blogueros,https://www.g2.com/categories/blogger-outreach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magazine Manager,https://www.g2.com/categories/book-marketing-tools,herramientas-marketing-libros,https://www.g2.com/categories/book-marketing-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PublishDrive,https://www.g2.com/categories/book-marketing-tools,herramientas-marketing-libros,https://www.g2.com/categories/book-marketing-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Book Brush,https://www.g2.com/categories/book-marketing-tools,herramientas-marketing-libros,https://www.g2.com/categories/book-marketing-tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qualtrics CoreXM,https://www.g2.com/categories/brand-intelligence,inteligencia-marca,https://www.g2.com/categories/brand-intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attest,https://www.g2.com/categories/brand-intelligence,inteligencia-marca,https://www.g2.com/categories/brand-intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UserTesting,https://www.g2.com/categories/consumer-video-feedback,comentarios-video-consumidores,https://www.g2.com/categories/consumer-video-feedback,https://www.g2.com/categories/user-research,investigacion-usuarios,,,,,,,,,,,,,,,,,,,,,,,,,,,
Respondent,https://www.g2.com/categories/consumer-video-feedback,comentarios-video-consumidores,https://www.g2.com/categories/consumer-video-feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discuss,https://www.g2.com/categories/consumer-video-feedback,comentarios-video-consumidores,https://www.g2.com/categories/consumer-video-feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google Analytics,https://www.g2.com/categories/content-analytics,analitica-contenido,https://www.g2.com/categories/content-analytics,https://www.g2.com/categories/digital-analytics,analitica-digital,https://www.g2.com/categories/mobile-app-analytics,,,,,,,,,,,,,,,,,,,,,,,,,,
Vyond,https://www.g2.com/categories/content-creation,creacion-contenido,https://www.g2.com/categories/content-creation,https://www.g2.com/categories/animation,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuzzSumo,https://www.g2.com/categories/content-curation,curacion-contenido,https://www.g2.com/categories/content-curation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StoryStream,https://www.g2.com/categories/content-curation,curacion-contenido,https://www.g2.com/categories/content-curation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SocialPilot,https://www.g2.com/categories/content-distribution,distribucion-contenido,https://www.g2.com/categories/content-distribution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlippingBook,https://www.g2.com/categories/content-distribution,distribucion-contenido,https://www.g2.com/categories/content-distribution,https://www.g2.com/categories/flipbook,flipbook,,,,,,,,,,,,,,,,,,,,,,,,,,,
Showpad Content,https://www.g2.com/categories/content-experience-platforms,plataformas-experiencia-contenido,https://www.g2.com/categories/content-experience-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consensus,https://www.g2.com/categories/content-experience-platforms,plataformas-experiencia-contenido,https://www.g2.com/categories/content-experience-platforms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birdeye,https://www.g2.com/categories/conversational-marketing,marketing-conversacional,https://www.g2.com/categories/conversational-marketing,https://www.g2.com/categories/customer-advocacy,promocion-cliente,https://www.g2.com/categories/local-listing-management,gestion-listados-locales,https://www.g2.com/categories/local-seo,seo-local,https://www.g2.com/categories/multi-location-marketing-platforms,plataformas-marketing-multilocalizacion,https://www.g2.com/categories/online-reputation-management,gestion-reputacion-linea,https://www.g2.com/categories/experience-management,gestion-experiencias,https://www.g2.com/categories/feedback-analytics,analisis-comentarios,,,,,,,,,,,,,,,
VWO Testing,https://www.g2.com/categories/a-b-testing,pruebas-ab,https://www.g2.com/categories/a-b-testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoEngage,https://www.g2.com/categories/a-b-testing,pruebas-ab,https://www.g2.com/categories/a-b-testing,https://www.g2.com/categories/marketing-platforms,plataformas-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB Tasty,https://www.g2.com/categories/a-b-testing,pruebas-ab,https://www.g2.com/categories/a-b-testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contentsquare,https://www.g2.com/categories/customer-journey-mapping,mapeo-jornada-cliente,https://www.g2.com/categories/customer-journey-mapping,https://www.g2.com/categories/heatmap-tools,herramientas-mapas-calor,https://www.g2.com/categories/session-replay,reproduccion-sesiones,https://www.g2.com/categories/customer-journey-analytics,analitica-jornada-cliente,https://www.g2.com/categories/digital-analytics,analitica-digital,,,,,,,,,,,,,,,,,,,,,
Glassbox,https://www.g2.com/categories/customer-journey-mapping,mapeo-jornada-cliente,https://www.g2.com/categories/customer-journey-mapping,https://www.g2.com/categories/heatmap-tools,herramientas-mapas-calor,https://www.g2.com/categories/session-replay,reproduccion-sesiones,https://www.g2.com/categories/digital-analytics,analitica-digital,https://www.g2.com/categories/user-research,investigacion-usuarios,https://www.g2.com/categories/e-commerce-analytics,analisis-comercio-electronico,https://www.g2.com/categories/enterprise-feedback-management,gestion-comentarios-empresariales,https://www.g2.com/categories/feedback-analytics,analisis-comentarios,,optimizacion-aplicaciones-moviles,https://www.g2.com/categories/mobile-app-optimization,,,,,,,,,,,,
CleverTap,https://www.g2.com/categories/customer-journey-mapping,mapeo-jornada-cliente,https://www.g2.com/categories/customer-journey-mapping,https://www.g2.com/categories/push-notification,notificaciones-push,https://www.g2.com/categories/mobile-app-optimization,optimizacion-aplicaciones-moviles,,,,,,,,,,,,,,,,,,,,,,,,,
Mouseflow,https://www.g2.com/categories/heatmap-tools,herramientas-mapas-calor,https://www.g2.com/categories/heatmap-tools,https://www.g2.com/categories/e-commerce-analytics,analisis-comercio-electronico,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wix,https://www.g2.com/categories/landing-page-builders,constructores-landing-pages,https://www.g2.com/categories/landing-page-builders,https://www.g2.com/categories/web-design,diseño-web,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIK,https://www.g2.com/categories/other-conversion-rate-optimization,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emojicom,https://www.g2.com/categories/other-conversion-rate-optimization,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exatom,https://www.g2.com/categories/other-conversion-rate-optimization,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplitude Analytics,https://www.g2.com/categories/product-analytics,analitica-productos,https://www.g2.com/categories/product-analytics,https://www.g2.com/categories/mobile-app-analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pendo,https://www.g2.com/categories/product-analytics,analitica-productos,https://www.g2.com/categories/product-analytics,https://www.g2.com/categories/digital-adoption-platform,plataforma-adopcion-digital,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixpanel,https://www.g2.com/categories/product-analytics,analitica-productos,https://www.g2.com/categories/product-analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LogRocket,https://www.g2.com/categories/session-replay,reproduccion-sesiones,https://www.g2.com/categories/session-replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Insider,https://www.g2.com/categories/customer-data-platform-cdp,plataformas-datos-cliente-cdp,https://www.g2.com/categories/customer-data-platform-cdp,https://www.g2.com/categories/customer-journey-analytics,analitica-jornada-cliente,https://www.g2.com/categories/marketing-automation,automatizacion-marketing,https://www.g2.com/categories/mobile-marketing,marketing-movil,https://www.g2.com/categories/personalization,personalizacion,https://www.g2.com/categories/personalization-engines,motores-personalizacion,https://www.g2.com/categories/e-commerce-personalization,personalizacion-comercio-electronico,,,,,,,,,,,,,,,,,
Klaviyo,https://www.g2.com/categories/customer-data-platform-cdp,plataformas-datos-cliente-cdp,https://www.g2.com/categories/customer-data-platform-cdp,https://www.g2.com/categories/email-template-builder,plantillas-correo-electronico,https://www.g2.com/categories/personalization,personalizacion,https://www.g2.com/categories/sms-marketing,marketing-sms,,,,,,,,,,,,,,,,,,,,,,,
Bloomreach,https://www.g2.com/categories/customer-data-platform-cdp,plataformas-datos-cliente-cdp,https://www.g2.com/categories/customer-data-platform-cdp,https://www.g2.com/categories/personalization-engines,motores-personalizacion,https://www.g2.com/categories/e-merchandising,comercializacion-electronica,https://www.g2.com/categories/e-commerce-personalization,personalizacion-comercio-electronico,https://www.g2.com/categories/cross-channel-advertising,publicidad-en-multiples-canales,,,,,,,,,,,,,,,,,,,,,
LinkedIn Groups,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,marketing-comunidad-cliente-cliente,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Groups,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,marketing-comunidad-cliente-cliente,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eventbrite,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,marketing-comunidad-cliente-cliente,https://www.g2.com/categories/customer-to-customer-c2c-community-marketing,https://www.g2.com/categories/box-office,taquilla,https://www.g2.com/categories/event-marketing,marketing-eventos,,,,,,,,,,,,,,,,,,,,,,,,,
Yotpo,https://www.g2.com/categories/customer-advocacy,promocion-cliente,https://www.g2.com/categories/customer-advocacy,https://www.g2.com/categories/review-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Influitive,https://www.g2.com/categories/customer-advocacy,promocion-cliente,https://www.g2.com/categories/customer-advocacy,https://www.g2.com/categories/gamification,gamificacion,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSMN8,https://www.g2.com/categories/employee-advocacy,promocion-empleados,https://www.g2.com/categories/employee-advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sociabble,https://www.g2.com/categories/employee-advocacy,promocion-empleados,https://www.g2.com/categories/employee-advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClearView Social,https://www.g2.com/categories/employee-advocacy,promocion-empleados,https://www.g2.com/categories/employee-advocacy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUFinder,https://www.g2.com/categories/lead-capture,captura-prospectos,https://www.g2.com/categories/lead-capture,https://www.g2.com/categories/lead-intelligence,inteligencia-prospectos,https://www.g2.com/categories/lead-mining,prospeccion-prospectos,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. E by EasyLeadz,https://www.g2.com/categories/lead-capture,captura-prospectos,https://www.g2.com/categories/lead-capture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cognism,https://www.g2.com/categories/lead-mining,prospeccion-prospectos,https://www.g2.com/categories/lead-mining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freshsales,https://www.g2.com/categories/lead-scoring,puntuacion-prospectos,https://www.g2.com/categories/lead-scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ActiveCampaign for Sales,https://www.g2.com/categories/lead-scoring,puntuacion-prospectos,https://www.g2.com/categories/lead-scoring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dripify,https://www.g2.com/categories/other-lead-generation,otro-generacion-prospectos,https://www.g2.com/categories/other-lead-generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ReachEdge,https://www.g2.com/categories/other-lead-generation,otro-generacion-prospectos,https://www.g2.com/categories/other-lead-generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TrustedForm,https://www.g2.com/categories/other-lead-generation,otro-generacion-prospectos,https://www.g2.com/categories/other-lead-generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoyaltyLion,https://www.g2.com/categories/loyalty-management,gestion-lealtad,https://www.g2.com/categories/loyalty-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emarsys,https://www.g2.com/categories/loyalty-management,gestion-lealtad,https://www.g2.com/categories/loyalty-management,https://www.g2.com/categories/location-based-marketing,marketing-ubicacion,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xoxoday Plum,https://www.g2.com/categories/loyalty-management,gestion-lealtad,https://www.g2.com/categories/loyalty-management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OptiSigns,https://www.g2.com/categories/digital-signage,señalizacion-digital,https://www.g2.com/categories/digital-signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yodeck,https://www.g2.com/categories/digital-signage,señalizacion-digital,https://www.g2.com/categories/digital-signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raydiant,https://www.g2.com/categories/digital-signage,señalizacion-digital,https://www.g2.com/categories/digital-signage,https://www.g2.com/categories/visitor-behavior-intelligence,inteligencia-comportamiento-visitante,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stadium Shops | SnackMagic | SwagMagic,https://www.g2.com/categories/direct-mail-automation,automatizacion-correo-directo,https://www.g2.com/categories/direct-mail-automation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lob,https://www.g2.com/categories/direct-mail-automation,automatizacion-correo-directo,https://www.g2.com/categories/direct-mail-automation,https://www.g2.com/categories/address-verification,verificacion-direcciones,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclaimer,https://www.g2.com/categories/email-signature,firmas-correo-electronico,https://www.g2.com/categories/email-signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CodeTwo Email Signatures 365,https://www.g2.com/categories/email-signature,firmas-correo-electronico,https://www.g2.com/categories/email-signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WiseStamp,https://www.g2.com/categories/email-signature,firmas-correo-electronico,https://www.g2.com/categories/email-signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Constant Contact,https://www.g2.com/categories/email-template-builder,plantillas-correo-electronico,https://www.g2.com/categories/email-template-builder,https://www.g2.com/categories/event-marketing,marketing-eventos,https://www.g2.com/categories/email-deliverability,entrega-correo-electronico,https://www.g2.com/categories/email-marketing,marketing-correo-electronico,,,,,,,,,,,,,,,,,,,,,,,
Litmus,https://www.g2.com/categories/email-testing,pruebas-correo-electronico,https://www.g2.com/categories/email-testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MailerLite,https://www.g2.com/categories/email-testing,pruebas-correo-electronico,https://www.g2.com/categories/email-testing,https://www.g2.com/categories/email-deliverability,entrega-correo-electronico,https://www.g2.com/categories/email-marketing,marketing-correo-electronico,,,,,,,,,,,,,,,,,,,,,,,,,
Brevo Transactional Email,https://www.g2.com/categories/email-testing,pruebas-correo-electronico,https://www.g2.com/categories/email-testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slido,https://www.g2.com/categories/audience-response,respuesta-audiencia,https://www.g2.com/categories/audience-response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hubilo,https://www.g2.com/categories/audience-response,respuesta-audiencia,https://www.g2.com/categories/audience-response,https://www.g2.com/categories/event-management-platforms,plataformas-gestion-eventos,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentimeter,https://www.g2.com/categories/audience-response,respuesta-audiencia,https://www.g2.com/categories/audience-response,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TicketSpice,https://www.g2.com/categories/box-office,taquilla,https://www.g2.com/categories/box-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AudienceView Professional,https://www.g2.com/categories/box-office,taquilla,https://www.g2.com/categories/box-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvent,https://www.g2.com/categories/event-management-platforms,plataformas-gestion-eventos,https://www.g2.com/categories/event-management-platforms,https://www.g2.com/categories/event-marketing,marketing-eventos,https://www.g2.com/categories/event-planning,planificacion-eventos,https://www.g2.com/categories/event-registration-ticketing,registro-venta-boletos-eventos,,,,,,,,,,,,,,,,,,,,,,,
